央视,#genre#
安徽卫视,http://10.11.43.21/PLTV/88888912/224/3221226734/426211896.smil/01.m3u8?fmt=ts2hls
江西卫视,http://10.11.43.21/PLTV/88888912/224/3221226667/426212034.smil/01.m3u8?fmt=ts2hls
重庆卫视,http://10.11.43.21/PLTV/88888912/224/3221226721/426211158.smil/01.m3u8?fmt=ts2hls
浙江卫视,http://10.11.43.21/PLTV/88888912/224/3221226760/426211174.smil/01.m3u8?fmt=ts2hls
河北卫视,http://10.11.43.21/PLTV/88888912/224/3221226728/426212050.smil/01.m3u8?fmt=ts2hls
购物,#genre#
央广购物,http://10.11.43.21/PLTV/88888912/224/3221226461/10000100000000060000000000932159_0.smil/01.m3u8?fmt=ts2hls
聚鲨环球精选,http://10.11.43.21/PLTV/88888912/224/3221226724/426212070.smil/01.m3u8?fmt=ts2hls
家有购物,http://10.11.43.21/PLTV/88888912/224/3221226701/426211924.smil/01.m3u8?fmt=ts2hls
时尚购物,http://10.11.43.21/PLTV/88888912/224/3221225879/10000100000000060000000000576082_0.smil/01.m3u8?fmt=ts2hls
优购物,http://10.11.43.21/PLTV/88888912/224/3221226697/426211944.smil/01.m3u8?fmt=ts2hls
好享购物,http://10.11.43.21/PLTV/88888912/224/3221226700/403187541.smil/01.m3u8?fmt=ts2hls
三佳购物,http://10.11.43.21/PLTV/88888912/224/3221226637/398429771.smil/01.m3u8?fmt=ts2hls
UHD,#genre#
爱上4K,rtsp://10.11.43.21/PLTV/88888912/224/3221226658/395123164.smil
